,University,Location
0,University of Colorado at Boulder,40.00667°N 105.26722°W
1,Indiana University at Bloomington,39.167222°N 86.521389°W
2,Indiana University,39.167°N 86.500°W
3,Temple University,39.981°N 75.155°W
4,University of Delaware,39.67833°N 75.75111°W
5,Georgia State University,33.75278°N 84.38611°W
6,Virginia Commonwealth University,37.546615°N 77.453255°W
7,Texas State University,29.88889°N 97.93889°W
8,Technische Universität München,48.149°N 11.567°E
9,Universität Augsburg,48.33389°N 10.89833°E
10,Ludwig-Maximilians-Universität München,48.15083°N 11.58028°E
11,University of Edinburgh,55.947389°N 3.187194°W
12,San Jose State University,37.3353°N 121.8813°W
13,Harvard University,42.37444°N 71.11694°W
14,Vanderbilt University,36.148649°N 86.804972°W
15,Mercer University,32.82917°N 83.64861°W
16,"University College London, University of London",51.524778°N 0.133583°W
17,University of Illinois at Chicago,41.87167°N 87.64917°W
18,University of Toronto,43.66167°N 79.39500°W
19,Kobe University,34.72806°N 135.23472°E
20,Pennsylvania State University,40.79611°N 77.86278°W
21,New York University,40.73000°N 73.99500°W
22,Simon Fraser University,49.276765°N 122.917957°W
23,University of Jyväskylä,62.2362500°N 25.7326667°E
24,University of Wisconsin - Madison,43.075000°N 89.417222°W
25,Arizona State University,33.421°N 111.933°W
26,Hebrew University of Jerusalem,31.77583°N 35.20000°E
27,University of Texas at Austin,30.285°N 97.735°W
28,"University of Maryland, College Park",38.98750°N 76.94000°W
29,"University of California, Berkeley",37.802168°N 122.271281°W
30,Utah State University,41.745°N 111.809°W
31,University of Washington,47.655°N 122.308°W
32,Aarhus University,56.167°N 10.200°E
33,University of Nottingham,52.939°N 1.197°W
34,Universität Köln,50.92806°N 6.92861°E
35,Rochester Institute of Technology,43.084412°N 77.674949°W
36,Shizuoka University,34.96417°N 138.43194°E
37,State University of New York at Albany,42.686193°N 73.823884°W
38,Universität Duisburg-Essen,51.46389°N 7.00611°E
39,"University of California, Los Angeles",37.802168°N 122.271281°W
40,University of Pennsylvania,39.95°N 75.19°W
41,Massachusetts Institute of Technology,42.360°N 71.092°W
42,"Ohio State University, Columbus",40.0000°N 83.0145°W
43,University of Technology Sydney,33.88361°S 151.20083°E
44,University of Helsinki,60.16944°N 24.95000°E
45,Carnegie Mellon University,40.443322°N 79.943583°W
46,University of Pittsburgh,40.444565°N 79.953274°W
47,University of Queensland,27.49722°S 153.01306°E
48,Göteborg University,57.69833°N 11.97167°E
49,University of Haifa,32.76250°N 35.01806°E
50,Dawson College,45.489374°N 73.588298°W
51,John Abbott College,45.4057444°N 73.9418222°W
52,Hong Kong Institute of Education,22.4689°N 114.194°E
53,Tufts University,42.406°N 71.120°W
54,Ben-Gurion University of the Negev,31.2621917°N 34.8015111°E
55,Brandeis University,42.365664°N 71.259742°W
56,George Mason University,38.831°N 77.308°W
57,Ruhr-University Bochum,51.44389°N 7.26167°E
58,University of Georgia,33.9558°N 83.3745°W
59,University of Miami,25.721644°N 80.279267°W
60,Drexel University,39.954°N 75.188°W
61,University of Massachusetts at Amherst,42.38889°N 72.52778°W
62,North Carolina State University,35.78722°N 78.67056°W
