,author,file
0,Abrahamson D.,import2016full/61
1,Abrahamson D.,import2016full/61
2,Abrahamson D.,import2016full/61
3,Lee R. G.,import2016full/61
4,Negrete A. G.,import2016full/61
5,Gutiérrez J. F.,import2016full/61
6,Abrahamson D.,import2016full/61
7,Sánchez-García R.,import2016full/61
8,Abrahamson D.,import2016full/61
9,Shayan S.,import2016full/61
10,Bakker A.,import2016full/61
11,Schaaf M. F.,import2016full/61
12,Abrahamson D.,import2016full/61
13,Trninic D.,import2016full/61
14,Allen J. W. P.,import2016full/61
15,Bickhard M. H.,import2016full/61
16,Bamberger J.,import2016full/61
17,Bernstein N. A.,import2016full/61
18,Case R.,import2016full/61
19,Okamoto Y.,import2016full/61
20,Chemero A.,import2016full/61
21,Chow J. Y.,import2016full/61
22,Davids K.,import2016full/61
23,Button C.,import2016full/61
24,Shuttleworth R.,import2016full/61
25,Renshaw I.,import2016full/61
26,Araújo D.,import2016full/61
27,Cole M.,import2016full/61
28,Wertsch J. V.,import2016full/61
29,Denison S.,import2016full/61
30,Xu F.,import2016full/61
31,Dubinsky E.,import2016full/61
32,diSessa A. A.,import2016full/61
33,Levin M.,import2016full/61
34,Brown N. J. S.,import2016full/61
35,Forman G.,import2016full/61
36,Ginsburg H. P.,import2016full/61
37,Gray E.,import2016full/61
38,Tall D.,import2016full/61
39,Harnad S.,import2016full/61
40,Hutto D. D.,import2016full/61
41,Myin E.,import2016full/61
42,Hutto D. D.,import2016full/61
43,Sánchez-García R.,import2016full/61
44,Kelso J. A. S.,import2016full/61
45,Engstrøm D. A.,import2016full/61
46,Lave J.,import2016full/61
47,Wenger E.,import2016full/61
48,Lindgren R.,import2016full/61
49,Johnson-Glenberg M.,import2016full/61
50,Marshall P.,import2016full/61
51,Antle A. N.,import2016full/61
52,Hoven E.,import2016full/61
53,Rogers Y.,import2016full/61
54,Martin T.,import2016full/61
55,Sherin B.,import2016full/61
56,Moreno-Armella L.,import2016full/61
57,Hegedus S.,import2016full/61
58,Kaput J.,import2016full/61
59,Newell K. M.,import2016full/61
60,Ranganathan R.,import2016full/61
61,Newman D.,import2016full/61
62,Griffin P.,import2016full/61
63,Cole M.,import2016full/61
64,Norton A.,import2016full/61
65,Noss R.,import2016full/61
66,Hoyles C.,import2016full/61
67,Piaget J.,import2016full/61
68,Piaget J.,import2016full/61
69,Reinholz D.,import2016full/61
70,Trninic D.,import2016full/61
71,Howison M.,import2016full/61
72,Abrahamson D.,import2016full/61
73,Rogoff B.,import2016full/61
74,Sarama J.,import2016full/61
75,Clements D. H.,import2016full/61
76,Saxe G. B.,import2016full/61
77,Schneider B.,import2016full/61
78,Bumbacher E.,import2016full/61
79,Blikstein P.,import2016full/61
80,Sfard A.,import2016full/61
81,Siegler R. S.,import2016full/61
82,Smith J. P.,import2016full/61
83,diSessa A. A.,import2016full/61
84,Roschelle J.,import2016full/61
85,Thelen E.,import2016full/61
86,Smith L. B.,import2016full/61
87,Turner T.,import2016full/61
88,Varela F. J.,import2016full/61
89,Thompson E.,import2016full/61
90,Rosch E.,import2016full/61
91,Wertsch J. V.,import2016full/61
92,Worsley M.,import2016full/61
93,Blikstein P.,import2016full/61
94,Caillois R.,import2016full/59
95,Clark D.,import2016full/59
96,Nelson B.,import2016full/59
97,Sengupta P.,import2016full/59
98,Angelo C.,import2016full/59
99,Colella V.,import2016full/59
100,Danish J. A.,import2016full/59
101,Enyedy N.,import2016full/59
102,Saleh A.,import2016full/59
103,Lee C.,import2016full/59
104,Andrade A.,import2016full/59
105,Enyedy N.,import2016full/59
106,Danish J. A.,import2016full/59
107,Delacruz G.,import2016full/59
108,Kumar M.,import2016full/59
109,Enyedy N.,import2016full/59
110,Danish J. A.,import2016full/59
111,DeLiema D.,import2016full/59
112,Erickson F.,import2016full/59
113,Schultz J.,import2016full/59
114,Fauconnier G.,import2016full/59
115,Turner M.,import2016full/59
116,Gee J. P.,import2016full/59
117,Goodwin M. H.,import2016full/59
118,Goffman E.,import2016full/59
119,Jordan B.,import2016full/59
120,Henderson A.,import2016full/59
121,Lee V.,import2016full/59
122,Lindgren R.,import2016full/59
123,Nemirovsky R.,import2016full/59
124,Tierney C.,import2016full/59
125,Wright T.,import2016full/59
126,Ochs E.,import2016full/59
127,Jacoby S.,import2016full/59
128,Gonzales P.,import2016full/59
129, K,import2016full/59
130,im H. N.,import2016full/59
131,Cho B. K.,import2016full/59
132,Park J. W.,import2016full/59
133,Schauble L.,import2016full/59
134,Klopfer L. E.,import2016full/59
135,Raghavan K.,import2016full/59
136,Schwarz C. V.,import2016full/59
137,Reiser B. J.,import2016full/59
138,Davis E. A.,import2016full/59
139,Kenyon L.,import2016full/59
140,Achér A.,import2016full/59
141,Fortus D.,import2016full/59
142,Shwartz Y,import2016full/59
143,Hug B.,import2016full/59
144,Krajcik J.,import2016full/59
145,Vygotsky L. S.,import2016full/59
146,Cantrell S. H.,import2016full/66
147,Hughes H. K.,import2016full/66
148,Clarke D.,import2016full/66
149,Hollingsworh H.,import2016full/66
150,Joyce B.,import2016full/66
151,Showers B.,import2016full/66
152,Kapur K.,import2016full/66
153,Kremer M.,import2016full/66
154,Murlidharan K.,import2016full/66
155,Nazmul C.,import2016full/66
156,Hammer J.,import2016full/66
157,Rogers H. F.,import2016full/66
158,Muralidharan K.,import2016full/66
159,2013 A,import2016full/66
160,Ottevanger W. J. W.,import2016full/66
161,Poglinco S.,import2016full/66
162,Bach A.,import2016full/66
163, R,import2016full/66
164,osenblum S.,import2016full/66
165,Saunders M.,import2016full/66
166,Supovitz J.,import2016full/66
167,Putnam R.,import2016full/66
168,Borko H.,import2016full/66
169,Ramchandran V.,import2016full/66
170,Pal M.,import2016full/66
171,Jain S.,import2016full/66
172,Shekar S.,import2016full/66
173,Sharma J.,import2016full/66
174,Raval H.,import2016full/66
175,Mckenney S.,import2016full/66
176,Pieters J.,import2016full/66
177,Tyagi R. S.,import2016full/66
178,Akker J.,import2016full/66
